id,tf,ceco,nombre,kg_contrato,kg_historicos,kg_hist_galv,kg_hist_fe,kg_hist_inox,kg_adicionales
1217,CC03,4-03-002,EXTRAS 4-03-002,0.0,0.0,0.0,0.0,0.0,0.0
1218,CC04,4-04-002,EXTRAS 4-04-002,0.0,0.0,0.0,0.0,0.0,0.0
1219,CC08,4-08-002,EXTRAS 4-08-002,0.0,0.0,0.0,0.0,0.0,0.0
1220,CC07,4-07-002,EXTRAS 4-07-002,0.0,0.0,0.0,0.0,0.0,0.0
1221,CC06,4-06-002,EXTRAS 4-06-002,0.0,0.0,0.0,0.0,0.0,0.0
1222,CC05,4-05-002,EXTRAS 4-06-002,0.0,0.0,0.0,0.0,0.0,0.0
1223,CC02,4-02-002,EXTRAS 4-02-002,0.0,0.0,0.0,0.0,0.0,0.0
1224,CC09,4-09-002,EXTRAS 4-09-002,0.0,0.0,0.0,0.0,0.0,0.0
1225,CC07,4-07-002,EXTRAS 4-07-002,0.0,0.0,0.0,0.0,0.0,0.0
1226,CC06,4-06-002,EXTRAS 4-06-002,0.0,0.0,0.0,0.0,0.0,0.0
1227,CC05,4-05-002,EXTRAS 4-05-002,0.0,0.0,0.0,0.0,0.0,0.0
1228,CC02,4-02-002,EXTRAS 4-02-002,0.0,0.0,0.0,0.0,0.0,0.0
1229,CC09,4-09-002,EXTRAS 4-02-002,0.0,0.0,0.0,0.0,0.0,0.0
1230,13565,2-14-012,TF-13565 PLAZA MAULE SHOPPING CENTER-TALCA,0.0,0.0,0.0,0.0,0.0,0.0
1231,13581,2-14-015,TF-13581 PLAZA MAULE SHOPPING CENTER APLIACION-TALCA,0.0,0.0,0.0,0.0,0.0,0.0
1232,13599,2-11-056,TF-13599 CENTRO DE ENTRENAMIENTO TENIS,0.0,0.0,0.0,0.0,0.0,0.0
1233,13603,2-11-054,TF-13603 CENTRO ENTRENAMIENTO ACUATICO,0.0,0.0,0.0,0.0,0.0,0.0
1234,13600,2-11-057,TF-13600 C. E. ATLETISMO ESTADIO NACIONAL,0.0,0.0,0.0,0.0,0.0,0.0
1235,13615,2-11-058,TF-13615 CENTRO JUSTICIA CHILLAN,0.0,0.0,0.0,0.0,0.0,0.0
1236,13647,2-13-003,TF-13647 EDIFICIO MEET,0.0,0.0,0.0,0.0,0.0,0.0
1237,13625,3-17-005,TF-13625 OFICINA 61 TANICA,0.0,0.0,0.0,0.0,0.0,0.0
1238,13669,nan,TF-13669 BCI PISO 5,0.0,0.0,0.0,0.0,0.0,0.0
1239,13710,2-17-032,TF-13710 CASA BRIONES - COYHAIQUE,0.0,0.0,0.0,0.0,0.0,0.0
1240,13697,nan,TF-13697,0.0,0.0,0.0,0.0,0.0,0.0
1241,13714,3-17-006,TF-13714 HABILITACION PISO 10 OFICINA SCHENKE,0.0,0.0,0.0,0.0,0.0,0.0
1242,13674,2-14-016,TF-13674 MALL PLAZA OESTE,0.0,0.0,0.0,0.0,0.0,0.0
1243,13735,nan,TF-13735 AGRICOLA NILAHUE,0.0,0.0,0.0,0.0,0.0,0.0
1244,13324,2-11-062,TF-13324 EDIFICIO ECO-EGAÑA,0.0,0.0,0.0,0.0,0.0,0.0
1245,13732,2-11-066,TF-13732 CAPITAL TRUST,0.0,0.0,0.0,0.0,0.0,0.0
1246,13689,nan,TF-13689 PASEO EL ROSAL,0.0,0.0,0.0,0.0,0.0,0.0
1247,13728,nan,TF-13728 APOQUINDO INGEVEC,0.0,0.0,0.0,0.0,0.0,0.0
1248,13618,2-12-022,TF- 13618 NORMAILIZACION HOSPITAL CURACAUTIN,0.0,0.0,0.0,0.0,0.0,0.0
1249,13788,nan,TF-13788 TANICA,0.0,0.0,0.0,0.0,0.0,0.0
1250,13784,2-12-023,TF – 13784 ACHS EDIFICIO B PROVIDENCIA,0.0,0.0,0.0,0.0,0.0,0.0
1251,13759,nan,TF-13759 PARQUE ARAUCO,0.0,0.0,0.0,0.0,0.0,0.0
1252,13817,2-12-024,TF-13817 ACHS - EDIFICIO K1 PISO 1 - EDIFICIO C,0.0,0.0,0.0,0.0,0.0,0.0
1253,13655,2-11-063,TF-13655 SANTIAGO WEST TEMPLE,0.0,0.0,0.0,0.0,0.0,0.0
1254,13812,2-15-004,TF-13812 EDIF MANQUEHUE-BCI SEGUROS- DATA CENTER TI,0.0,0.0,0.0,0.0,0.0,0.0
1255,13848,2-11-068,TF-13848 TANICA II- TORRE B- OVCO OF 32,0.0,0.0,0.0,0.0,0.0,0.0
1256,13870,2-17-023,TF-13870 BCI Seguros - Piso 11,0.0,0.0,0.0,0.0,0.0,0.0
1257,13912,2-14-022,TF-13912 ECOEGAÑA- PLACA COMERCIAL- LOCALES DE COMIDA,0.0,0.0,0.0,0.0,0.0,0.0
